dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_sum,registered_sum,cnt_sum
2011-01-03,spring,2011,January,14,not holiday,Monday,workingday,clear,0.26,0.2424,0.3,0.2836,11,66,77,120,1229,1349
2011-01-03,spring,2011,January,15,not holiday,Monday,workingday,clear,0.26,0.2424,0.3,0.2537,14,58,72,120,1229,1349
2011-01-03,spring,2011,January,16,not holiday,Monday,workingday,clear,0.26,0.2424,0.3,0.2537,9,67,76,120,1229,1349
2011-01-03,spring,2011,January,17,not holiday,Monday,workingday,clear,0.24,0.2273,0.3,0.2239,11,146,157,120,1229,1349
2011-01-03,spring,2011,January,18,not holiday,Monday,workingday,clear,0.24,0.2576,0.32,0.1045,9,148,157,120,1229,1349
2011-01-03,spring,2011,January,19,not holiday,Monday,workingday,clear,0.2,0.2576,0.47,0.0,8,102,110,120,1229,1349
2011-01-03,spring,2011,January,20,not holiday,Monday,workingday,clear,0.2,0.2273,0.47,0.1045,3,49,52,120,1229,1349
2011-01-03,spring,2011,January,21,not holiday,Monday,workingday,clear,0.18,0.197,0.64,0.1343,3,49,52,120,1229,1349
2011-01-03,spring,2011,January,22,not holiday,Monday,workingday,clear,0.14,0.1515,0.69,0.1343,0,20,20,120,1229,1349
2011-01-03,spring,2011,January,23,not holiday,Monday,workingday,clear,0.18,0.2121,0.55,0.1045,1,11,12,120,1229,1349
2011-01-04,spring,2011,January,0,not holiday,Tuesday,workingday,clear,0.16,0.1818,0.55,0.1045,0,5,5,108,1454,1562
2011-01-04,spring,2011,January,1,not holiday,Tuesday,workingday,clear,0.16,0.1818,0.59,0.1045,0,2,2,108,1454,1562
2011-01-04,spring,2011,January,2,not holiday,Tuesday,workingday,clear,0.14,0.1515,0.63,0.1343,0,1,1,108,1454,1562
2011-01-04,spring,2011,January,4,not holiday,Tuesday,workingday,clear,0.14,0.1818,0.63,0.0896,0,2,2,108,1454,1562
2011-01-04,spring,2011,January,5,not holiday,Tuesday,workingday,clear,0.12,0.1515,0.68,0.1045,0,4,4,108,1454,1562
2011-01-04,spring,2011,January,6,not holiday,Tuesday,workingday,clear,0.12,0.1515,0.74,0.1045,0,36,36,108,1454,1562
2011-01-04,spring,2011,January,7,not holiday,Tuesday,workingday,clear,0.12,0.1515,0.74,0.1343,2,92,94,108,1454,1562
2011-01-04,spring,2011,January,8,not holiday,Tuesday,workingday,clear,0.14,0.1515,0.69,0.1642,2,177,179,108,1454,1562
2011-01-04,spring,2011,January,9,not holiday,Tuesday,workingday,clear,0.16,0.1515,0.64,0.2239,2,98,100,108,1454,1562
2011-01-04,spring,2011,January,10,not holiday,Tuesday,workingday,mist,0.16,0.1364,0.69,0.3284,5,37,42,108,1454,1562
2011-01-04,spring,2011,January,11,not holiday,Tuesday,workingday,clear,0.22,0.2121,0.51,0.2985,7,50,57,108,1454,1562
2011-01-04,spring,2011,January,12,not holiday,Tuesday,workingday,clear,0.22,0.2273,0.51,0.1642,12,66,78,108,1454,1562
2011-01-04,spring,2011,January,13,not holiday,Tuesday,workingday,clear,0.24,0.2273,0.56,0.194,18,79,97,108,1454,1562
2011-01-04,spring,2011,January,14,not holiday,Tuesday,workingday,clear,0.26,0.2576,0.52,0.2239,9,54,63,108,1454,1562
2011-01-04,spring,2011,January,15,not holiday,Tuesday,workingday,clear,0.28,0.2727,0.52,0.2537,17,48,65,108,1454,1562
2011-01-04,spring,2011,January,16,not holiday,Tuesday,workingday,clear,0.3,0.2879,0.49,0.2537,15,68,83,108,1454,1562
2011-01-04,spring,2011,January,17,not holiday,Tuesday,workingday,clear,0.28,0.2727,0.48,0.2239,10,202,212,108,1454,1562
2011-01-04,spring,2011,January,18,not holiday,Tuesday,workingday,clear,0.26,0.2576,0.48,0.194,3,179,182,108,1454,1562
2011-01-04,spring,2011,January,19,not holiday,Tuesday,workingday,clear,0.24,0.2576,0.48,0.1045,2,110,112,108,1454,1562
2011-01-04,spring,2011,January,20,not holiday,Tuesday,workingday,clear,0.24,0.2576,0.48,0.1045,1,53,54,108,1454,1562
2011-01-04,spring,2011,January,21,not holiday,Tuesday,workingday,clear,0.22,0.2727,0.64,0.0,0,48,48,108,1454,1562
2011-01-04,spring,2011,January,22,not holiday,Tuesday,workingday,clear,0.22,0.2576,0.64,0.0896,1,34,35,108,1454,1562
2011-01-04,spring,2011,January,23,not holiday,Tuesday,workingday,clear,0.2,0.2273,0.69,0.0896,2,9,11,108,1454,1562
2011-01-05,spring,2011,January,0,not holiday,Wednesday,workingday,clear,0.2,0.2576,0.64,0.0,0,6,6,82,1518,1600
2011-01-05,spring,2011,January,1,not holiday,Wednesday,workingday,clear,0.16,0.197,0.74,0.0896,0,6,6,82,1518,1600
2011-01-05,spring,2011,January,2,not holiday,Wednesday,workingday,clear,0.16,0.197,0.74,0.0896,0,2,2,82,1518,1600
2011-01-05,spring,2011,January,4,not holiday,Wednesday,workingday,clear,0.24,0.2273,0.48,0.2239,0,2,2,82,1518,1600
2011-01-05,spring,2011,January,5,not holiday,Wednesday,workingday,clear,0.22,0.2273,0.47,0.1642,0,3,3,82,1518,1600
2011-01-05,spring,2011,January,6,not holiday,Wednesday,workingday,clear,0.2,0.197,0.47,0.2239,0,33,33,82,1518,1600
2011-01-05,spring,2011,January,7,not holiday,Wednesday,workingday,clear,0.18,0.1818,0.43,0.194,1,87,88,82,1518,1600
2011-01-05,spring,2011,January,8,not holiday,Wednesday,workingday,clear,0.2,0.1818,0.4,0.2985,3,192,195,82,1518,1600
2011-01-05,spring,2011,January,9,not holiday,Wednesday,workingday,clear,0.22,0.197,0.37,0.3284,6,109,115,82,1518,1600
2011-01-05,spring,2011,January,10,not holiday,Wednesday,workingday,clear,0.22,0.197,0.37,0.3284,4,53,57,82,1518,1600
2011-01-05,spring,2011,January,11,not holiday,Wednesday,workingday,clear,0.26,0.2273,0.33,0.3284,12,34,46,82,1518,1600
2011-01-05,spring,2011,January,12,not holiday,Wednesday,workingday,clear,0.26,0.2273,0.33,0.3284,5,74,79,82,1518,1600
2011-01-05,spring,2011,January,13,not holiday,Wednesday,workingday,clear,0.28,0.2576,0.3,0.2985,6,65,71,82,1518,1600
2011-01-05,spring,2011,January,14,not holiday,Wednesday,workingday,clear,0.3,0.2879,0.28,0.194,10,52,62,82,1518,1600
2011-01-05,spring,2011,January,15,not holiday,Wednesday,workingday,clear,0.3,0.2879,0.28,0.194,7,55,62,82,1518,1600
2011-01-05,spring,2011,January,16,not holiday,Wednesday,workingday,clear,0.3,0.3182,0.28,0.0896,4,85,89,82,1518,1600
2011-01-05,spring,2011,January,17,not holiday,Wednesday,workingday,clear,0.24,0.2273,0.38,0.194,4,186,190,82,1518,1600
2011-01-05,spring,2011,January,18,not holiday,Wednesday,workingday,clear,0.24,0.2424,0.38,0.1343,3,166,169,82,1518,1600
2011-01-05,spring,2011,January,19,not holiday,Wednesday,workingday,clear,0.24,0.2576,0.38,0.1045,5,127,132,82,1518,1600
2011-01-05,spring,2011,January,20,not holiday,Wednesday,workingday,clear,0.22,0.2273,0.47,0.1642,7,82,89,82,1518,1600
2011-01-05,spring,2011,January,21,not holiday,Wednesday,workingday,clear,0.2,0.197,0.51,0.194,3,40,43,82,1518,1600
2011-01-05,spring,2011,January,22,not holiday,Wednesday,workingday,clear,0.18,0.197,0.55,0.1343,1,41,42,82,1518,1600
2011-01-05,spring,2011,January,23,not holiday,Wednesday,workingday,clear,0.2,0.2576,0.47,0.0,1,18,19,82,1518,1600
2011-01-06,spring,2011,January,0,not holiday,Thursday,workingday,clear,0.18,0.2424,0.55,0.0,0,11,11,88,1518,1606
2011-01-06,spring,2011,January,1,not holiday,Thursday,workingday,clear,0.16,0.2273,0.64,0.0,0,4,4,88,1518,1606
2011-01-06,spring,2011,January,2,not holiday,Thursday,workingday,clear,0.16,0.2273,0.64,0.0,0,2,2,88,1518,1606
2011-01-06,spring,2011,January,4,not holiday,Thursday,workingday,mist,0.16,0.197,0.64,0.0896,0,1,1,88,1518,1606
2011-01-06,spring,2011,January,5,not holiday,Thursday,workingday,mist,0.14,0.1818,0.69,0.0896,0,4,4,88,1518,1606
2011-01-06,spring,2011,January,6,not holiday,Thursday,workingday,mist,0.14,0.1667,0.63,0.1045,0,36,36,88,1518,1606
2011-01-06,spring,2011,January,7,not holiday,Thursday,workingday,mist,0.16,0.2273,0.59,0.0,0,95,95,88,1518,1606
2011-01-06,spring,2011,January,8,not holiday,Thursday,workingday,clear,0.16,0.2273,0.59,0.0,3,216,219,88,1518,1606
2011-01-06,spring,2011,January,9,not holiday,Thursday,workingday,mist,0.18,0.2424,0.51,0.0,6,116,122,88,1518,1606
2011-01-06,spring,2011,January,10,not holiday,Thursday,workingday,clear,0.2,0.2576,0.47,0.0,3,42,45,88,1518,1606
2011-01-06,spring,2011,January,11,not holiday,Thursday,workingday,clear,0.22,0.2576,0.44,0.0896,2,57,59,88,1518,1606
2011-01-06,spring,2011,January,12,not holiday,Thursday,workingday,clear,0.26,0.2879,0.35,0.0,6,78,84,88,1518,1606
2011-01-06,spring,2011,January,13,not holiday,Thursday,workingday,clear,0.26,0.2727,0.35,0.1045,12,55,67,88,1518,1606
2011-01-06,spring,2011,January,14,not holiday,Thursday,workingday,clear,0.28,0.2727,0.36,0.1642,11,59,70,88,1518,1606
2011-01-06,spring,2011,January,15,not holiday,Thursday,workingday,clear,0.28,0.2727,0.36,0.0,8,54,62,88,1518,1606
2011-01-06,spring,2011,January,16,not holiday,Thursday,workingday,clear,0.26,0.2576,0.38,0.1642,12,74,86,88,1518,1606
2011-01-06,spring,2011,January,17,not holiday,Thursday,workingday,clear,0.22,0.2273,0.51,0.1642,9,163,172,88,1518,1606
2011-01-06,spring,2011,January,18,not holiday,Thursday,workingday,clear,0.22,0.2273,0.51,0.1343,5,158,163,88,1518,1606
2011-01-06,spring,2011,January,19,not holiday,Thursday,workingday,clear,0.22,0.2576,0.55,0.0896,3,109,112,88,1518,1606
2011-01-06,spring,2011,January,20,not holiday,Thursday,workingday,clear,0.2,0.2121,0.51,0.1642,3,66,69,88,1518,1606
2011-01-06,spring,2011,January,21,not holiday,Thursday,workingday,mist,0.22,0.2121,0.55,0.2239,0,48,48,88,1518,1606
2011-01-06,spring,2011,January,22,not holiday,Thursday,workingday,mist,0.22,0.2121,0.51,0.2836,1,51,52,88,1518,1606
2011-01-06,spring,2011,January,23,not holiday,Thursday,workingday,mist,0.2,0.197,0.59,0.194,4,19,23,88,1518,1606
2011-01-07,spring,2011,January,0,not holiday,Friday,workingday,mist,0.2,0.197,0.64,0.194,4,13,17,148,1362,1510
2011-01-07,spring,2011,January,1,not holiday,Friday,workingday,mist,0.2,0.197,0.69,0.2239,2,5,7,148,1362,1510
2011-01-07,spring,2011,January,2,not holiday,Friday,workingday,mist,0.2,0.197,0.69,0.2239,0,1,1,148,1362,1510
2011-01-07,spring,2011,January,4,not holiday,Friday,workingday,mist,0.2,0.2121,0.69,0.1343,0,1,1,148,1362,1510
2011-01-07,spring,2011,January,5,not holiday,Friday,workingday,light rain,0.22,0.2727,0.55,0.0,0,5,5,148,1362,1510
2011-01-07,spring,2011,January,6,not holiday,Friday,workingday,mist,0.2,0.2576,0.69,0.0,8,26,34,148,1362,1510
2011-01-07,spring,2011,January,7,not holiday,Friday,workingday,clear,0.2,0.2121,0.69,0.1343,8,76,84,148,1362,1510
2011-01-07,spring,2011,January,8,not holiday,Friday,workingday,clear,0.2,0.197,0.51,0.2537,20,190,210,148,1362,1510
2011-01-07,spring,2011,January,9,not holiday,Friday,workingday,clear,0.2,0.1818,0.47,0.2985,9,125,134,148,1362,1510
2011-01-07,spring,2011,January,10,not holiday,Friday,workingday,clear,0.22,0.197,0.37,0.3284,16,47,63,148,1362,1510
2011-01-07,spring,2011,January,11,not holiday,Friday,workingday,mist,0.2,0.197,0.4,0.2239,19,48,67,148,1362,1510
2011-01-07,spring,2011,January,12,not holiday,Friday,workingday,mist,0.2,0.197,0.37,0.2537,9,50,59,148,1362,1510
2011-01-07,spring,2011,January,13,not holiday,Friday,workingday,mist,0.2,0.1818,0.37,0.2836,9,64,73,148,1362,1510
2011-01-07,spring,2011,January,14,not holiday,Friday,workingday,mist,0.2,0.197,0.4,0.2537,7,43,50,148,1362,1510
2011-01-07,spring,2011,January,15,not holiday,Friday,workingday,mist,0.2,0.2121,0.37,0.1642,9,63,72,148,1362,1510
2011-01-07,spring,2011,January,16,not holiday,Friday,workingday,mist,0.2,0.2121,0.37,0.1642,5,82,87,148,1362,1510
2011-01-07,spring,2011,January,17,not holiday,Friday,workingday,mist,0.2,0.2576,0.37,0.0,9,178,187,148,1362,1510
2011-01-07,spring,2011,January,18,not holiday,Friday,workingday,clear,0.2,0.2273,0.4,0.0896,7,116,123,148,1362,1510
2011-01-07,spring,2011,January,19,not holiday,Friday,workingday,clear,0.16,0.197,0.55,0.0896,3,92,95,148,1362,1510
2011-01-07,spring,2011,January,20,not holiday,Friday,workingday,clear,0.18,0.2121,0.47,0.1045,1,50,51,148,1362,1510
2011-01-07,spring,2011,January,21,not holiday,Friday,workingday,clear,0.18,0.197,0.47,0.1343,0,39,39,148,1362,1510
2011-01-07,spring,2011,January,22,not holiday,Friday,workingday,mist,0.18,0.197,0.43,0.1642,2,34,36,148,1362,1510
2011-01-07,spring,2011,January,23,not holiday,Friday,workingday,mist,0.18,0.197,0.51,0.1642,1,14,15,148,1362,1510
2011-01-08,spring,2011,January,0,not holiday,Saturday,not workingday,mist,0.18,0.197,0.51,0.1642,1,24,25,68,891,959
2011-01-08,spring,2011,January,1,not holiday,Saturday,not workingday,mist,0.18,0.2121,0.55,0.0896,1,15,16,68,891,959
2011-01-08,spring,2011,January,2,not holiday,Saturday,not workingday,mist,0.18,0.2424,0.55,0.0,3,13,16,68,891,959
2011-01-08,spring,2011,January,3,not holiday,Saturday,not workingday,light rain,0.18,0.197,0.55,0.1642,0,7,7,68,891,959
2011-01-08,spring,2011,January,4,not holiday,Saturday,not workingday,light rain,0.18,0.197,0.55,0.1642,0,1,1,68,891,959
2011-01-08,spring,2011,January,5,not holiday,Saturday,not workingday,mist,0.16,0.1667,0.74,0.1642,0,5,5,68,891,959
2011-01-08,spring,2011,January,6,not holiday,Saturday,not workingday,mist,0.16,0.1667,0.74,0.1642,0,2,2,68,891,959
2011-01-08,spring,2011,January,7,not holiday,Saturday,not workingday,mist,0.16,0.1818,0.74,0.1045,1,8,9,68,891,959
2011-01-08,spring,2011,January,8,not holiday,Saturday,not workingday,light rain,0.16,0.1818,0.93,0.1045,0,15,15,68,891,959
2011-01-08,spring,2011,January,9,not holiday,Saturday,not workingday,light rain,0.16,0.1818,0.93,0.1045,0,20,20,68,891,959
2011-01-08,spring,2011,January,10,not holiday,Saturday,not workingday,mist,0.18,0.197,0.8,0.1642,5,56,61,68,891,959
2011-01-08,spring,2011,January,11,not holiday,Saturday,not workingday,mist,0.2,0.1818,0.69,0.3881,2,60,62,68,891,959
2011-01-08,spring,2011,January,12,not holiday,Saturday,not workingday,mist,0.2,0.1818,0.59,0.3582,8,90,98,68,891,959
2011-01-08,spring,2011,January,13,not holiday,Saturday,not workingday,clear,0.2,0.1818,0.44,0.3284,7,95,102,68,891,959
2011-01-08,spring,2011,January,14,not holiday,Saturday,not workingday,clear,0.2,0.1667,0.32,0.4925,12,83,95,68,891,959
2011-01-08,spring,2011,January,15,not holiday,Saturday,not workingday,clear,0.2,0.1667,0.32,0.4478,5,69,74,68,891,959
2011-01-08,spring,2011,January,16,not holiday,Saturday,not workingday,clear,0.18,0.1364,0.29,0.4478,8,68,76,68,891,959
2011-01-08,spring,2011,January,17,not holiday,Saturday,not workingday,clear,0.16,0.1212,0.37,0.5522,5,64,69,68,891,959
2011-01-08,spring,2011,January,18,not holiday,Saturday,not workingday,clear,0.14,0.1212,0.39,0.2985,3,52,55,68,891,959
2011-01-08,spring,2011,January,19,not holiday,Saturday,not workingday,clear,0.14,0.1212,0.36,0.2537,4,26,30,68,891,959
2011-01-08,spring,2011,January,20,not holiday,Saturday,not workingday,clear,0.12,0.1212,0.36,0.2537,0,28,28,68,891,959
2011-01-08,spring,2011,January,21,not holiday,Saturday,not workingday,clear,0.12,0.1061,0.39,0.3582,2,35,37,68,891,959
2011-01-08,spring,2011,January,22,not holiday,Saturday,not workingday,clear,0.12,0.1061,0.36,0.3881,1,33,34,68,891,959
2011-01-08,spring,2011,January,23,not holiday,Saturday,not workingday,clear,0.1,0.0606,0.39,0.4478,0,22,22,68,891,959
2011-01-09,spring,2011,January,0,not holiday,Sunday,not workingday,clear,0.1,0.0758,0.42,0.3881,1,24,25,54,768,822
2011-01-09,spring,2011,January,1,not holiday,Sunday,not workingday,clear,0.1,0.0606,0.42,0.4627,0,12,12,54,768,822
2011-01-09,spring,2011,January,2,not holiday,Sunday,not workingday,clear,0.1,0.0606,0.46,0.4627,0,11,11,54,768,822
2011-01-09,spring,2011,January,3,not holiday,Sunday,not workingday,clear,0.1,0.0758,0.46,0.4179,0,4,4,54,768,822
2011-01-09,spring,2011,January,4,not holiday,Sunday,not workingday,clear,0.08,0.0909,0.53,0.194,0,1,1,54,768,822
2011-01-09,spring,2011,January,5,not holiday,Sunday,not workingday,clear,0.08,0.0909,0.53,0.194,0,1,1,54,768,822
2011-01-09,spring,2011,January,6,not holiday,Sunday,not workingday,clear,0.1,0.0909,0.49,0.2836,0,1,1,54,768,822
2011-01-09,spring,2011,January,7,not holiday,Sunday,not workingday,clear,0.08,0.0909,0.53,0.194,1,5,6,54,768,822
2011-01-09,spring,2011,January,8,not holiday,Sunday,not workingday,clear,0.1,0.0909,0.49,0.2836,0,10,10,54,768,822
2011-01-09,spring,2011,January,9,not holiday,Sunday,not workingday,clear,0.12,0.0758,0.46,0.5224,0,19,19,54,768,822
2011-01-09,spring,2011,January,10,not holiday,Sunday,not workingday,clear,0.14,0.1061,0.43,0.3881,0,49,49,54,768,822
2011-01-09,spring,2011,January,11,not holiday,Sunday,not workingday,clear,0.16,0.1212,0.4,0.5224,2,47,49,54,768,822
2011-01-09,spring,2011,January,12,not holiday,Sunday,not workingday,clear,0.18,0.1364,0.37,0.4478,4,79,83,54,768,822
2011-01-09,spring,2011,January,13,not holiday,Sunday,not workingday,clear,0.2,0.1667,0.34,0.4478,6,69,75,54,768,822
2011-01-09,spring,2011,January,14,not holiday,Sunday,not workingday,clear,0.22,0.1818,0.32,0.4627,8,64,72,54,768,822
2011-01-09,spring,2011,January,15,not holiday,Sunday,not workingday,clear,0.22,0.197,0.35,0.3582,5,77,82,54,768,822
2011-01-09,spring,2011,January,16,not holiday,Sunday,not workingday,clear,0.2,0.1667,0.34,0.4478,13,79,92,54,768,822
2011-01-09,spring,2011,January,17,not holiday,Sunday,not workingday,clear,0.18,0.1515,0.37,0.3881,3,59,62,54,768,822
2011-01-09,spring,2011,January,18,not holiday,Sunday,not workingday,clear,0.16,0.1364,0.4,0.3284,4,44,48,54,768,822
2011-01-09,spring,2011,January,19,not holiday,Sunday,not workingday,clear,0.16,0.1364,0.43,0.3284,1,40,41,54,768,822
2011-01-09,spring,2011,January,20,not holiday,Sunday,not workingday,clear,0.14,0.1212,0.46,0.2537,0,38,38,54,768,822
2011-01-09,spring,2011,January,21,not holiday,Sunday,not workingday,clear,0.14,0.1061,0.46,0.4179,1,19,20,54,768,822
2011-01-09,spring,2011,January,22,not holiday,Sunday,not workingday,clear,0.14,0.1212,0.46,0.2985,5,10,15,54,768,822
2011-01-09,spring,2011,January,23,not holiday,Sunday,not workingday,clear,0.12,0.1364,0.5,0.194,0,6,6,54,768,822
2011-01-10,spring,2011,January,0,not holiday,Monday,workingday,clear,0.12,0.1212,0.5,0.2836,2,3,5,41,1280,1321
2011-01-10,spring,2011,January,1,not holiday,Monday,workingday,clear,0.12,0.1212,0.5,0.2836,1,0,1,41,1280,1321
2011-01-10,spring,2011,January,2,not holiday,Monday,workingday,clear,0.12,0.1212,0.5,0.2239,0,3,3,41,1280,1321
